bowler,total_matches,total_balls,total_runs_conceded,total_wickets,total_maidens,dot_balls,overs_bowled,bowling_average,economy_rate,strike_rate,dot_percentage,fours_conceded,sixes_conceded,pp_wickets,pp_economy,middle_wickets,middle_economy,death_wickets,death_economy,recent_runs,recent_balls,recent_wickets,recent_economy
M Pathirana,19,481,595,36,154,222,80.17,16.53,7.42,13.36,46.15,47.0,14.0,0.0,0.0,12.0,6.86,24.0,8.1,47,30,3,9.4
M Prasidh Krishna,51,1231,1741,54,475,566,205.17,32.24,8.49,22.8,45.98,197.0,56.0,16.0,7.73,15.0,8.09,23.0,10.09,47,30,1,9.4
M Shahrukh Khan,2,12,16,0,3,4,2.0,16.0,8.0,12.0,33.33,0.0,1.0,0.0,0.0,0.0,9.0,0.0,7.0,16,12,0,8.0
M Siddharth,3,58,72,1,22,24,9.67,72.0,7.45,58.0,41.38,6.0,2.0,1.0,7.27,0.0,9.0,0.0,0.0,31,30,0,6.200000000000001
M Theekshana,26,607,777,23,183,201,101.17,33.78,7.68,26.39,33.11,53.0,29.0,7.0,8.22,8.0,7.65,8.0,5.9,29,30,0,5.8
M Vijay,4,37,49,0,8,9,6.17,49.0,7.95,37.0,24.32,6.0,0.0,0.0,6.86,0.0,8.2,0.0,0.0,35,30,0,7.0
M de Lange,4,89,137,3,31,37,14.83,45.67,9.24,29.67,41.57,16.0,4.0,0.0,7.91,1.0,9.16,2.0,11.54,33,30,2,6.6000000000000005
MA Khote,2,30,52,2,5,6,5.0,26.0,10.4,15.0,20.0,4.0,2.0,0.0,0.0,1.0,9.33,1.0,12.0,52,30,2,10.4
MA Starc,39,879,1175,59,334,408,146.5,19.92,8.02,14.9,46.42,124.0,31.0,20.0,7.84,9.0,7.21,30.0,8.83,32,30,4,6.4
MA Wood,5,127,192,11,47,61,21.17,17.45,9.07,11.55,48.03,13.0,12.0,2.0,9.23,3.0,6.43,6.0,12.27,44,30,3,8.799999999999999
MB Parmar,1,19,33,0,4,5,3.17,33.0,10.42,19.0,26.32,6.0,0.0,0.0,12.0,0.0,9.5,0.0,0.0,33,19,0,10.421052631578949
MC Henriques,50,833,1110,41,266,299,138.83,27.07,8.0,20.32,35.89,106.0,32.0,8.0,7.87,30.0,7.93,3.0,9.31,23,30,3,4.6000000000000005
MF Maharoof,20,441,532,33,165,196,73.5,16.12,7.24,13.36,44.44,46.0,16.0,11.0,7.23,12.0,6.17,10.0,9.45,47,30,0,9.4
MG Bracewell,5,66,95,6,26,26,11.0,15.83,8.64,11.0,39.39,7.0,6.0,3.0,6.5,3.0,9.11,0.0,0.0,38,30,3,7.6
MG Johnson,49,1177,1597,54,481,558,196.17,29.57,8.14,21.8,47.41,178.0,53.0,25.0,7.72,8.0,8.05,21.0,9.28,44,30,0,8.799999999999999
MG Neser,1,25,62,0,5,5,4.17,62.0,14.88,25.0,20.0,6.0,4.0,0.0,18.0,0.0,9.43,0.0,16.5,62,25,0,14.879999999999999
MJ Henry,6,105,183,3,31,36,17.5,61.0,10.46,35.0,34.29,16.0,10.0,1.0,9.87,0.0,13.5,2.0,8.0,56,30,0,11.2
MJ McClenaghan,47,1127,1526,66,421,499,187.83,23.12,8.12,17.08,44.28,147.0,59.0,28.0,7.41,14.0,8.47,24.0,9.39,27,30,0,5.4
MJ Santner,18,370,428,16,134,140,61.67,26.75,6.94,23.12,37.84,36.0,11.0,2.0,7.59,13.0,6.78,1.0,1.0,40,30,2,8.0
MJ Suthar,1,12,26,0,4,4,2.0,26.0,13.0,12.0,33.33,1.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,26,12,0,13.0
MK Lomror,11,94,127,2,22,26,15.67,63.5,8.11,47.0,27.66,8.0,5.0,1.0,5.5,1.0,8.49,0.0,0.0,51,30,1,10.2
MK Tiwary,6,45,83,1,9,12,7.5,83.0,11.07,45.0,26.67,2.0,7.0,0.0,0.0,0.0,10.31,1.0,12.92,49,30,0,9.8
MM Ali,51,746,887,38,255,274,124.33,23.34,7.13,19.63,36.73,38.0,48.0,1.0,5.62,35.0,7.26,2.0,6.6,48,30,0,9.600000000000001
MM Patel,56,1235,1566,73,531,570,205.83,21.45,7.61,16.92,46.15,171.0,50.0,25.0,7.15,28.0,6.34,20.0,10.97,44,30,0,8.799999999999999
MM Sharma,102,2115,3036,135,723,788,352.5,22.49,8.61,15.67,37.26,299.0,115.0,32.0,8.01,37.0,7.92,66.0,10.1,44,30,3,8.799999999999999
MP Stoinis,58,767,1209,42,203,244,127.83,28.79,9.46,18.26,31.81,95.0,58.0,7.0,9.04,20.0,8.73,15.0,12.48,48,30,1,9.600000000000001
MP Yadav,4,76,88,8,39,44,12.67,11.0,6.95,9.5,57.89,11.0,3.0,2.0,9.5,5.0,6.57,1.0,0.0,46,30,1,9.200000000000001
