bowler,total_matches,total_balls,total_runs_conceded,total_wickets,total_maidens,dot_balls,overs_bowled,bowling_average,economy_rate,strike_rate,dot_percentage,fours_conceded,sixes_conceded,pp_wickets,pp_economy,middle_wickets,middle_economy,death_wickets,death_economy,recent_runs,recent_balls,recent_wickets,recent_economy
Abdul Samad,5,55,113,2,11,12,9.17,56.5,12.33,27.5,21.82,6.0,8.0,0.0,0.0,2.0,11.62,0.0,17.14,72,30,1,14.399999999999999
Abdur Razzak,1,14,29,0,5,6,2.33,29.0,12.43,14.0,42.86,3.0,1.0,0.0,0.0,0.0,12.43,0.0,0.0,29,14,0,12.42857142857143
Abhishek Sharma,26,278,396,11,70,83,46.33,36.0,8.55,25.27,29.86,25.0,18.0,0.0,8.32,11.0,8.53,0.0,11.0,34,30,2,6.8
Akash Deep,8,175,324,8,55,66,29.17,40.5,11.11,21.88,37.71,21.0,24.0,3.0,9.12,4.0,11.12,1.0,14.79,74,30,1,14.8
Akash Madhwal,13,279,431,22,83,100,46.5,19.59,9.27,12.68,35.84,39.0,18.0,5.0,7.56,9.0,10.33,8.0,9.21,65,30,2,13.0
Akash Singh,7,141,227,5,53,56,23.5,45.4,9.66,28.2,39.72,24.0,12.0,3.0,9.35,1.0,10.65,1.0,10.0,63,30,0,12.600000000000001
Aman Hakim Khan,1,6,13,0,1,1,1.0,13.0,13.0,6.0,16.67,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,13,6,0,13.0
Anand Rajan,8,162,206,10,57,75,27.0,20.6,7.63,16.2,46.3,17.0,8.0,0.0,6.13,5.0,6.43,5.0,12.94,26,30,1,5.2
Ankit Sharma,15,275,333,9,107,113,45.83,37.0,7.27,30.56,41.09,21.0,14.0,4.0,5.61,5.0,8.17,0.0,36.0,50,30,0,10.0
Anureet Singh,22,430,636,21,139,166,71.67,30.29,8.87,20.48,38.6,65.0,22.0,7.0,7.19,4.0,9.56,10.0,10.39,58,30,2,11.6
Arjun Tendulkar,5,83,117,4,30,42,13.83,29.25,8.46,20.75,50.6,10.0,5.0,1.0,5.7,1.0,19.41,2.0,5.0,46,30,1,9.200000000000001
Arshad Khan,9,153,282,6,44,65,25.5,47.0,11.06,25.5,42.48,32.0,14.0,2.0,9.75,2.0,11.11,2.0,15.2,50,30,0,10.0
Arshad Khan (2),1,13,25,0,4,6,2.17,25.0,11.54,13.0,46.15,5.0,0.0,0.0,0.0,0.0,11.54,0.0,0.0,25,13,0,11.538461538461538
Arshdeep Singh,65,1453,2097,84,472,588,242.17,24.96,8.66,17.3,40.47,217.0,65.0,29.0,8.34,14.0,8.49,41.0,9.29,43,30,2,8.6
Atharva Taide,1,1,4,0,0,0,0.17,4.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4,1,0,24.0
Avesh Khan,62,1390,2010,81,491,565,231.67,24.81,8.68,17.16,40.65,201.0,79.0,21.0,8.81,27.0,7.7,33.0,9.39,32,30,5,6.4
Azhar Mahmood,21,504,644,26,183,201,84.0,24.77,7.67,19.38,39.88,65.0,17.0,5.0,6.46,8.0,6.98,13.0,9.69,47,30,3,9.4
Azmatullah Omarzai,7,131,194,4,52,62,21.83,48.5,8.89,32.75,47.33,26.0,6.0,3.0,9.0,1.0,4.62,0.0,16.0,46,30,0,9.200000000000001
B Akhil,12,180,224,7,56,64,30.0,32.0,7.47,25.71,35.56,16.0,8.0,0.0,12.0,6.0,6.58,1.0,12.9,24,30,2,4.800000000000001
B Chipli,1,6,20,0,1,1,1.0,20.0,20.0,6.0,16.67,1.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,20,6,0,20.0
B Geeves,2,49,91,2,15,16,8.17,45.5,11.14,24.5,32.65,17.0,1.0,1.0,12.0,1.0,10.25,0.0,0.0,60,30,1,12.0
B Kumar,136,3178,4059,154,1269,1454,529.67,26.36,7.66,20.64,45.75,417.0,123.0,58.0,6.55,18.0,8.42,78.0,9.31,58,30,0,11.6
B Laughlin,9,179,284,10,42,54,29.83,28.4,9.52,17.9,30.17,26.0,10.0,3.0,9.89,4.0,7.34,3.0,11.82,49,30,4,9.8
B Lee,35,842,1020,29,346,402,140.33,35.17,7.27,29.03,47.74,110.0,22.0,12.0,6.8,5.0,6.63,12.0,8.47,34,30,1,6.8
B Stanlake,6,150,200,7,64,70,25.0,28.57,8.0,21.43,46.67,19.0,9.0,2.0,7.48,5.0,8.51,0.0,11.0,39,30,0,7.800000000000001
BA Bhatt,13,252,333,12,78,85,42.0,27.75,7.93,21.0,33.73,31.0,9.0,3.0,7.46,7.0,8.19,2.0,7.95,32,30,1,6.4
BA Stokes,26,449,696,17,120,155,74.83,40.94,9.3,26.41,34.52,69.0,22.0,4.0,10.25,6.0,7.98,7.0,11.06,62,30,1,12.400000000000002
BAW Mendis,7,176,228,7,47,54,29.33,32.57,7.77,25.14,30.68,10.0,10.0,0.0,8.48,6.0,7.18,1.0,9.4,50,30,1,10.0
BB Sran,20,429,655,17,142,177,71.5,38.53,9.16,25.24,41.26,63.0,26.0,6.0,8.82,4.0,9.78,7.0,8.96,66,30,1,13.200000000000001
BCJ Cutting,15,252,381,10,68,76,42.0,38.1,9.07,25.2,30.16,39.0,14.0,0.0,9.27,9.0,7.99,1.0,12.5,56,30,1,11.2
BE Hendricks,7,157,239,11,52,61,26.17,21.73,9.13,14.27,38.85,24.0,7.0,1.0,10.12,3.0,7.68,7.0,9.35,36,30,2,7.199999999999999
BJ Hodge,16,171,233,10,47,54,28.5,23.3,8.18,17.1,31.58,11.0,11.0,0.0,9.08,10.0,7.78,0.0,11.0,41,30,2,8.2
BJ Rohrer,1,7,12,0,1,2,1.17,12.0,10.29,7.0,28.57,2.0,0.0,0.0,0.0,0.0,10.29,0.0,0.0,12,7,0,10.285714285714285
BMAJ Mendis,2,30,36,1,11,11,5.0,36.0,7.2,30.0,36.67,2.0,2.0,0.0,0.0,1.0,7.2,0.0,0.0,36,30,1,7.199999999999999
BW Hilfenhaus,17,390,497,23,173,200,65.0,21.61,7.65,16.96,51.28,48.0,21.0,13.0,6.19,4.0,9.55,6.0,10.72,55,30,1,11.0
Basil Thampi,13,261,434,11,76,92,43.5,39.45,9.98,23.73,35.25,35.0,24.0,0.0,9.44,5.0,9.13,6.0,12.18,51,30,2,10.2
Bipul Sharma,20,287,363,15,87,99,47.83,24.2,7.59,19.13,34.49,15.0,18.0,4.0,5.23,11.0,7.59,0.0,23.0,37,30,2,7.4
C Ganapathy,1,6,13,0,1,1,1.0,13.0,13.0,6.0,16.67,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,13,6,0,13.0
C Green,29,462,675,20,149,183,77.0,33.75,8.77,23.1,39.61,58.0,31.0,3.0,8.25,15.0,8.4,2.0,12.0,37,30,2,7.4
C Munro,2,12,15,0,5,5,2.0,15.0,7.5,12.0,41.67,1.0,1.0,0.0,0.0,0.0,7.5,0.0,0.0,15,12,0,7.5
C Nanda,3,50,58,2,13,16,8.33,29.0,6.96,25.0,32.0,1.0,2.0,0.0,0.0,2.0,6.96,0.0,0.0,36,30,1,7.199999999999999
C Sakariya,19,460,610,20,143,181,76.67,30.5,7.96,23.0,39.35,49.0,21.0,6.0,6.4,6.0,8.35,8.0,9.98,42,30,2,8.399999999999999
C de Grandhomme,17,216,302,7,56,73,36.0,43.14,8.39,30.86,33.8,21.0,12.0,0.0,5.57,7.0,8.66,0.0,6.0,54,30,0,10.8
CH Gayle,33,518,706,13,145,181,86.33,54.31,8.18,39.85,34.94,44.0,27.0,3.0,7.79,6.0,7.67,4.0,10.37,32,30,2,6.4
CH Morris,75,1681,2228,98,625,727,280.17,22.73,7.95,17.15,43.25,206.0,77.0,22.0,7.56,18.0,7.86,58.0,8.47,48,30,0,9.600000000000001
CJ Anderson,18,268,455,13,69,88,44.67,35.0,10.19,20.62,32.84,49.0,19.0,2.0,9.81,6.0,8.82,5.0,13.7,70,30,2,14.0
CJ Dala,1,19,34,0,7,8,3.17,34.0,10.74,19.0,42.11,3.0,2.0,0.0,14.57,0.0,8.5,0.0,0.0,34,19,0,10.736842105263158
CJ Green,1,17,24,0,6,6,2.83,24.0,8.47,17.0,35.29,4.0,0.0,0.0,8.0,0.0,0.0,0.0,9.6,24,17,0,8.470588235294118
CJ Jordan,31,646,1025,27,183,233,107.67,37.96,9.52,23.93,36.07,93.0,42.0,5.0,9.18,9.0,7.66,13.0,11.75,56,30,0,11.2
CJ McKay,2,42,60,1,14,14,7.0,60.0,8.57,42.0,33.33,8.0,1.0,0.0,13.0,1.0,4.67,0.0,10.0,43,30,1,8.6
CK Kapugedera,3,17,49,0,0,0,2.83,49.0,17.29,17.0,0.0,5.0,3.0,0.0,0.0,0.0,18.55,0.0,15.0,49,17,0,17.294117647058822
CK Langeveldt,7,165,199,13,69,84,27.5,15.31,7.24,12.69,50.91,17.0,8.0,6.0,6.6,3.0,8.25,4.0,7.81,56,30,2,11.2
CL White,5,40,84,1,4,8,6.67,84.0,12.6,40.0,20.0,5.0,6.0,0.0,0.0,1.0,12.6,0.0,0.0,57,30,1,11.399999999999999
CR Brathwaite,14,229,329,15,67,81,38.17,21.93,8.62,15.27,35.37,31.0,11.0,1.0,7.67,9.0,8.55,5.0,9.38,46,30,1,9.200000000000001
CR Woakes,17,390,561,27,138,169,65.0,20.78,8.63,14.44,43.33,58.0,22.0,5.0,8.48,8.0,6.41,14.0,10.36,51,30,1,10.2
CRD Fernando,10,249,306,19,99,119,41.5,16.11,7.37,13.11,47.79,30.0,9.0,7.0,6.59,5.0,6.47,7.0,9.23,28,30,2,5.6
CV Varun,70,1624,2042,85,582,638,270.67,24.02,7.54,19.11,39.29,133.0,94.0,13.0,7.52,64.0,7.2,8.0,9.84,26,30,2,5.2
D Brevis,1,3,8,1,1,1,0.5,8.0,16.0,3.0,33.33,2.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,8,3,1,16.0
D Jansen,1,28,53,1,6,10,4.67,53.0,11.36,28.0,35.71,3.0,4.0,0.0,13.71,0.0,13.0,1.0,9.6,53,28,1,11.357142857142858
D Kalyankrishna,3,50,88,2,10,13,8.33,44.0,10.56,25.0,26.0,8.0,4.0,0.0,0.0,2.0,10.56,0.0,0.0,53,30,1,10.6
D Pretorius,7,166,242,7,42,62,27.67,34.57,8.75,23.71,37.35,14.0,11.0,0.0,0.0,5.0,6.59,2.0,11.43,31,30,1,6.200000000000001
D Salunkhe,5,51,80,1,13,18,8.5,80.0,9.41,51.0,35.29,6.0,3.0,0.0,0.0,1.0,9.41,0.0,0.0,47,30,0,9.4
D Wiese,15,307,447,17,82,96,51.17,26.29,8.74,18.06,31.27,47.0,11.0,6.0,6.96,3.0,9.33,8.0,9.23,64,30,0,12.8
D du Preez,2,43,56,4,18,18,7.17,14.0,7.81,10.75,41.86,6.0,1.0,3.0,4.0,1.0,9.33,0.0,13.71,51,30,1,10.2
DA Warner,1,2,2,0,0,1,0.33,2.0,6.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2,2,0,6.0
DAJ Bracewell,1,25,32,3,10,11,4.17,10.67,7.68,8.33,44.0,2.0,2.0,0.0,7.0,1.0,6.92,2.0,10.0,32,25,3,7.68
DB Ravi Teja,2,18,28,1,4,4,3.0,28.0,9.33,18.0,22.22,1.0,2.0,0.0,0.0,1.0,9.33,0.0,0.0,28,18,1,9.333333333333334
DE Bollinger,22,487,584,33,213,241,81.17,17.7,7.2,14.76,49.49,60.0,17.0,9.0,7.0,4.0,6.0,20.0,7.74,38,30,4,7.6
DG Nalkande,6,89,150,6,22,29,14.83,25.0,10.11,14.83,32.58,10.0,8.0,0.0,10.15,5.0,9.81,1.0,11.54,45,30,3,9.0
DJ Bravo,138,2828,3784,182,866,1069,471.33,20.79,8.03,15.54,37.8,300.0,133.0,13.0,7.33,68.0,7.47,101.0,9.1,41,30,2,8.2
DJ Harris,2,18,26,0,4,4,3.0,26.0,8.67,18.0,22.22,2.0,1.0,0.0,0.0,0.0,8.0,0.0,10.0,26,18,0,8.666666666666666
DJ Hooda,32,366,513,9,98,113,61.0,57.0,8.41,40.67,30.87,37.0,22.0,2.0,7.68,6.0,8.42,1.0,12.0,41,30,0,8.2
DJ Hussey,26,323,485,10,86,98,53.83,48.5,9.01,32.3,30.34,30.0,25.0,0.0,9.41,8.0,8.03,2.0,15.0,46,30,2,9.200000000000001
DJ Mitchell,4,51,97,1,5,8,8.5,97.0,11.41,51.0,15.69,9.0,4.0,0.0,0.0,1.0,11.41,0.0,0.0,60,30,0,12.0
DJ Muthuswami,6,84,108,4,44,47,14.0,27.0,7.71,21.0,55.95,14.0,3.0,3.0,8.25,0.0,8.0,1.0,1.0,33,30,3,6.6000000000000005
DJ Thornely,4,44,40,3,19,21,7.33,13.33,5.45,14.67,47.73,5.0,0.0,0.0,0.0,3.0,5.45,0.0,0.0,24,30,2,4.800000000000001
DJ Willey,11,221,277,7,79,89,36.83,39.57,7.52,31.57,40.27,28.0,8.0,3.0,6.69,2.0,8.46,2.0,9.92,45,30,2,9.0
DJG Sammy,19,244,354,14,72,82,40.67,25.29,8.7,17.43,33.61,33.0,12.0,1.0,8.16,9.0,8.45,4.0,10.93,50,30,0,10.0
DJM Short,2,18,23,1,7,8,3.0,23.0,7.67,18.0,44.44,1.0,1.0,0.0,0.0,1.0,7.67,0.0,0.0,23,18,1,7.666666666666666
DL Chahar,75,1645,2085,78,674,759,274.17,26.73,7.6,21.09,46.14,237.0,59.0,59.0,7.58,7.0,7.02,12.0,8.76,37,30,1,7.4
DL Vettori,30,689,796,29,234,255,114.83,27.45,6.93,23.76,37.01,59.0,22.0,1.0,6.0,22.0,6.73,6.0,9.07,39,30,1,7.800000000000001
DNT Zoysa,3,69,100,2,24,26,11.5,50.0,8.7,34.5,37.68,12.0,3.0,0.0,7.3,1.0,10.5,1.0,10.2,56,30,1,11.2
DP Nannes,27,645,741,37,273,332,107.5,20.03,6.89,17.43,51.47,79.0,13.0,17.0,5.84,1.0,8.03,19.0,8.12,57,30,1,11.399999999999999
DP Vijaykumar,9,159,205,4,63,74,26.5,51.25,7.74,39.75,46.54,23.0,5.0,3.0,7.27,0.0,6.0,1.0,10.65,49,30,1,9.8
DR Sams,16,389,528,15,142,172,64.83,35.2,8.14,25.93,44.22,41.0,25.0,8.0,6.69,5.0,8.92,2.0,11.51,46,30,1,9.200000000000001
DR Smith,29,362,520,17,111,125,60.33,30.59,8.62,21.29,34.53,49.0,17.0,0.0,12.81,14.0,7.97,3.0,9.8,52,30,2,10.4
DS Kulkarni,70,1410,1915,67,554,648,235.0,28.58,8.15,21.04,45.96,203.0,65.0,30.0,7.51,21.0,8.37,16.0,9.83,54,30,0,10.8
DT Christian,33,617,869,24,187,229,102.83,36.21,8.45,25.71,37.12,77.0,29.0,7.0,8.24,12.0,7.34,5.0,12.77,60,30,1,12.0
DW Steyn,88,2124,2405,97,946,1080,354.0,24.79,6.79,21.9,50.85,260.0,54.0,34.0,6.07,21.0,6.42,42.0,8.67,60,30,1,12.0
F du Plessis,1,6,16,0,0,0,1.0,16.0,16.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,16,6,0,16.0
FA Allen,4,91,136,2,26,27,15.17,68.0,8.97,45.5,29.67,11.0,7.0,1.0,10.11,1.0,8.67,0.0,0.0,57,30,1,11.399999999999999
FH Edwards,6,150,160,6,70,84,25.0,26.67,6.4,25.0,56.0,20.0,2.0,4.0,4.46,0.0,7.2,2.0,9.38,37,30,2,7.4
FY Fazal,2,12,20,1,1,1,2.0,20.0,10.0,12.0,8.33,1.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,20,12,1,10.0
Fazalhaq Farooqi,7,162,229,6,56,68,27.0,38.17,8.48,27.0,41.98,28.0,4.0,3.0,7.42,2.0,7.38,1.0,12.53,51,30,1,10.2
G Coetzee,10,216,357,13,71,96,36.0,27.46,9.92,16.62,44.44,33.0,17.0,3.0,9.86,4.0,10.68,6.0,8.23,54,30,1,10.8
GB Hogg,20,454,566,24,154,172,75.67,23.58,7.48,18.92,37.89,36.0,21.0,5.0,6.61,14.0,7.36,5.0,8.56,60,30,0,12.0
GC Viljoen,6,146,229,8,43,55,24.33,28.62,9.41,18.25,37.67,25.0,6.0,3.0,8.92,4.0,7.48,1.0,14.62,64,30,1,12.8
GD McGrath,14,329,366,14,153,166,54.83,26.14,6.67,23.5,50.46,41.0,10.0,9.0,5.79,3.0,7.33,2.0,9.31,53,30,0,10.6
GD Phillips,4,31,40,2,10,11,5.17,20.0,7.74,15.5,35.48,4.0,1.0,1.0,4.0,1.0,8.64,0.0,0.0,39,30,2,7.800000000000001
GH Vihari,6,43,48,1,17,19,7.17,48.0,6.7,43.0,44.19,5.0,1.0,1.0,8.5,0.0,4.42,0.0,0.0,28,30,0,5.6
GHS Garton,5,97,136,3,31,38,16.17,45.33,8.41,32.33,39.18,11.0,6.0,1.0,9.82,1.0,5.05,1.0,6.0,50,30,1,10.0
GJ Maxwell,75,929,1266,40,291,319,154.83,31.65,8.18,23.22,34.34,68.0,73.0,10.0,8.58,27.0,8.03,3.0,8.22,34,30,2,6.8
GR Napier,1,24,28,1,8,9,4.0,28.0,7.0,24.0,37.5,2.0,1.0,0.0,3.0,1.0,8.33,0.0,0.0,28,24,1,7.0
GS Sandhu,2,48,86,1,9,10,8.0,86.0,10.75,48.0,20.83,8.0,2.0,0.0,7.0,0.0,9.67,1.0,12.5,52,30,1,10.4
Gagandeep Singh,4,84,142,3,25,26,14.0,47.33,10.14,28.0,30.95,14.0,6.0,0.0,7.0,2.0,7.9,1.0,18.67,55,30,1,11.0
Gulbadin Naib,1,6,12,0,1,1,1.0,12.0,12.0,6.0,16.67,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12,6,0,12.0
Gurkeerat Singh,4,62,74,3,20,22,10.33,24.67,7.16,20.67,35.48,6.0,2.0,0.0,9.5,3.0,6.6,0.0,0.0,39,30,1,7.800000000000001
Gurnoor Brar,1,21,42,0,7,9,3.5,42.0,12.0,21.0,42.86,4.0,3.0,0.0,8.31,0.0,18.0,0.0,0.0,42,21,0,12.0
H Sharma,2,30,62,0,2,4,5.0,62.0,12.4,30.0,13.33,6.0,2.0,0.0,0.0,0.0,12.4,0.0,0.0,62,30,0,12.400000000000002
HF Gurney,8,169,239,7,50,57,28.17,34.14,8.49,24.14,33.73,23.0,7.0,2.0,5.66,2.0,7.96,3.0,12.96,45,30,1,9.0
HH Pandya,86,1410,2076,69,461,547,235.0,30.09,8.83,20.43,38.79,185.0,91.0,13.0,8.96,34.0,8.14,22.0,11.68,61,30,0,12.2
HR Shokeen,13,213,320,5,78,89,35.5,64.0,9.01,42.6,41.78,20.0,20.0,2.0,7.31,3.0,9.61,0.0,0.0,50,30,0,10.0
HV Patel,100,2209,3102,147,689,843,368.17,21.1,8.43,15.03,38.16,254.0,122.0,11.0,8.66,62.0,7.78,74.0,9.52,53,30,3,10.6
Harbhajan Singh,147,3216,3811,148,1159,1280,536.0,25.75,7.11,21.73,39.8,276.0,137.0,29.0,7.15,99.0,6.99,20.0,8.41,47,30,0,9.4
Harmeet Singh,25,508,663,25,171,202,84.67,26.52,7.83,20.32,39.76,62.0,18.0,6.0,8.27,13.0,7.42,6.0,8.93,29,30,4,5.8
Harpreet Brar,39,692,907,25,229,252,115.33,36.28,7.86,27.68,36.42,60.0,39.0,0.0,9.6,22.0,7.27,3.0,11.23,66,30,1,13.200000000000001
Harshit Rana,19,403,590,27,148,173,67.17,21.85,8.78,14.93,42.93,52.0,32.0,10.0,8.89,11.0,7.85,6.0,10.15,31,30,2,6.200000000000001
I Malhotra,1,6,23,0,0,0,1.0,23.0,23.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,23,6,0,23.0
I Sharma,100,2222,2991,87,876,1038,370.33,34.38,8.08,25.54,46.71,334.0,87.0,53.0,7.23,15.0,8.78,19.0,10.52,38,30,3,7.6
I Udana,10,182,286,8,45,57,30.33,35.75,9.43,22.75,31.32,26.0,11.0,2.0,10.95,4.0,8.17,2.0,9.43,47,30,2,9.4
IC Pandey,22,444,559,18,205,222,74.0,31.06,7.55,24.67,50.0,67.0,17.0,11.0,6.7,6.0,8.21,1.0,12.0,42,30,2,8.399999999999999
IC Porel,1,26,42,1,7,12,4.33,42.0,9.69,26.0,46.15,6.0,1.0,0.0,12.0,1.0,7.38,0.0,0.0,42,26,1,9.692307692307693
IK Pathan,90,1885,2414,91,740,847,314.17,26.53,7.68,20.71,44.93,264.0,73.0,29.0,7.01,25.0,7.7,37.0,9.11,58,30,1,11.6
IS Sodhi,8,182,204,9,64,67,30.33,22.67,6.73,20.22,36.81,9.0,8.0,2.0,8.5,7.0,6.43,0.0,36.0,49,30,3,9.8
Imran Tahir,45,1005,1306,62,327,356,167.5,21.06,7.8,16.21,35.42,76.0,60.0,0.0,8.9,44.0,7.65,18.0,8.28,23,30,3,4.6000000000000005
Iqbal Abdulla,39,751,899,38,269,299,125.17,23.66,7.18,19.76,39.81,70.0,32.0,11.0,6.09,23.0,7.45,4.0,8.69,47,30,2,9.4
J Botha,30,612,722,22,217,242,102.0,32.82,7.08,27.82,39.54,51.0,24.0,2.0,8.13,13.0,6.34,7.0,8.33,40,30,1,8.0
J Little,11,236,341,13,82,92,39.33,26.23,8.67,18.15,38.98,30.0,16.0,3.0,9.15,8.0,7.66,2.0,10.0,60,30,4,12.0
J Suchith,21,434,604,20,140,156,72.33,30.2,8.35,21.7,35.94,47.0,26.0,3.0,8.32,16.0,8.18,1.0,13.5,47,30,1,9.4
J Syed Mohammad,10,183,260,9,44,50,30.5,28.89,8.52,20.33,27.32,16.0,10.0,1.0,4.67,8.0,9.06,0.0,6.0,62,30,2,12.400000000000002
J Theron,9,208,274,11,59,77,34.67,24.91,7.9,18.91,37.02,27.0,6.0,2.0,9.24,5.0,6.92,4.0,7.65,45,30,1,9.0
J Yadav,19,374,422,9,145,154,62.33,46.89,6.77,41.56,41.18,30.0,14.0,4.0,7.59,5.0,6.24,0.0,0.0,39,30,0,7.800000000000001
JA Morkel,81,1704,2253,88,607,714,284.0,25.6,7.93,19.36,41.9,247.0,50.0,31.0,8.08,23.0,6.94,34.0,9.34,50,30,2,10.0
JA Richardson,4,94,162,3,30,36,15.67,54.0,10.34,31.33,38.3,12.0,10.0,0.0,10.45,2.0,9.72,1.0,12.46,48,30,0,9.600000000000001
JC Archer,40,987,1210,49,420,480,164.5,24.69,7.36,20.14,48.63,95.0,55.0,17.0,5.71,12.0,6.95,20.0,9.74,40,30,0,8.0
JD Ryder,5,104,121,5,40,45,17.33,24.2,6.98,20.8,43.27,6.0,6.0,0.0,7.0,5.0,6.14,0.0,13.0,33,30,0,6.6000000000000005
JD Unadkat,90,1866,2826,78,547,620,311.0,36.23,9.09,23.92,33.23,233.0,127.0,14.0,7.94,32.0,8.39,32.0,11.89,45,30,0,9.0
JDP Oram,13,232,329,12,77,89,38.67,27.42,8.51,19.33,38.36,32.0,11.0,3.0,8.32,1.0,8.51,8.0,8.76,30,30,0,6.0
JDS Neesham,13,222,342,8,63,74,37.0,42.75,9.24,27.75,33.33,32.0,14.0,1.0,10.86,7.0,8.61,0.0,18.0,37,30,1,7.4
JE Root,1,12,15,0,1,2,2.0,15.0,7.5,12.0,16.67,1.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,15,12,0,7.5
JEC Franklin,12,111,161,8,28,32,18.5,20.12,8.7,13.88,28.83,14.0,5.0,1.0,10.0,6.0,7.87,1.0,19.0,37,30,4,7.4
JH Kallis,84,1705,2218,68,573,661,284.17,32.62,7.81,25.07,38.77,224.0,53.0,19.0,7.28,27.0,7.49,22.0,9.72,60,30,0,12.0
JJ Bumrah,123,2934,3502,168,1149,1297,489.0,20.85,7.16,17.46,44.21,306.0,104.0,36.0,6.48,51.0,6.8,81.0,8.11,48,30,3,9.600000000000001
JJ van der Wath,3,76,134,3,29,35,12.67,44.67,10.58,25.33,46.05,17.0,6.0,0.0,7.45,1.0,13.89,2.0,12.25,62,30,2,12.400000000000002
JL Pattinson,10,222,321,11,77,87,37.0,29.18,8.68,20.18,39.19,34.0,10.0,4.0,8.36,4.0,8.55,3.0,10.29,73,30,0,14.599999999999998
JM Kemp,5,47,58,3,15,21,7.83,19.33,7.4,15.67,44.68,6.0,1.0,0.0,0.0,3.0,7.43,0.0,6.0,42,30,2,8.399999999999999
JO Holder,45,1036,1475,59,316,386,172.67,25.0,8.54,17.56,37.26,130.0,54.0,12.0,8.55,23.0,7.93,24.0,9.53,68,30,0,13.6
JP Behrendorff,17,379,563,22,139,159,63.17,25.59,8.91,17.23,41.95,55.0,26.0,11.0,8.25,3.0,8.89,8.0,12.12,32,30,0,6.4
JP Duminy,42,613,730,21,205,232,102.17,34.76,7.15,29.19,37.85,44.0,28.0,3.0,7.02,15.0,6.9,3.0,10.31,56,30,1,11.2
JP Faulkner,40,915,1282,57,301,368,152.5,22.49,8.41,16.05,40.22,106.0,49.0,14.0,7.25,12.0,8.02,31.0,9.97,62,30,1,12.400000000000002
JPR Scantlebury-Searles,3,45,89,2,7,10,7.5,44.5,11.87,22.5,22.22,4.0,7.0,0.0,11.14,2.0,12.0,0.0,0.0,64,30,2,12.8
JR Hazlewood,27,622,830,36,259,288,103.67,23.06,8.01,17.28,46.3,83.0,34.0,14.0,7.5,8.0,7.47,14.0,9.62,49,30,0,9.8
JR Hopes,19,344,536,13,96,118,57.33,41.23,9.35,26.46,34.3,43.0,27.0,1.0,8.67,8.0,8.76,4.0,11.45,43,30,0,8.6
JW Hastings,3,61,66,3,31,34,10.17,22.0,6.49,20.33,55.74,11.0,0.0,1.0,7.69,1.0,3.5,1.0,5.4,36,30,1,7.199999999999999
Jalaj S Saxena,1,18,27,0,5,5,3.0,27.0,9.0,18.0,27.78,4.0,0.0,0.0,10.0,0.0,8.5,0.0,0.0,27,18,0,9.0
Jaskaran Singh,7,111,174,6,39,49,18.5,29.0,9.41,18.5,44.14,23.0,4.0,2.0,6.91,1.0,9.79,3.0,13.11,48,30,2,9.600000000000001
Joginder Sharma,15,272,421,13,71,83,45.33,32.38,9.29,20.92,30.51,38.0,17.0,0.0,10.29,10.0,8.74,3.0,10.9,52,30,0,10.4
K Goel,6,67,94,0,19,21,11.17,94.0,8.42,67.0,31.34,9.0,2.0,0.0,0.0,0.0,8.42,0.0,0.0,41,30,0,8.2
K Gowtham,35,599,825,22,206,227,99.83,37.5,8.26,27.23,37.9,68.0,37.0,11.0,8.57,11.0,7.75,0.0,14.5,50,30,0,10.0
K Kartikeya,12,241,334,10,69,81,40.17,33.4,8.32,24.1,33.61,19.0,18.0,1.0,16.0,9.0,7.76,0.0,12.0,44,30,0,8.799999999999999
K Khejroliya,7,129,221,5,32,43,21.5,44.2,10.28,25.8,33.33,14.0,14.0,0.0,12.8,2.0,8.31,3.0,11.82,66,30,2,13.200000000000001
K Rabada,79,1883,2624,123,706,818,313.83,21.33,8.36,15.31,43.44,243.0,106.0,33.0,8.14,36.0,7.78,54.0,9.38,35,30,1,7.0
K Santokie,2,51,91,3,15,19,8.5,30.33,10.71,17.0,37.25,6.0,6.0,1.0,9.3,1.0,7.0,1.0,14.53,58,30,2,11.6
K Yadav,3,54,85,2,13,14,9.0,42.5,9.44,27.0,25.93,6.0,4.0,0.0,8.67,0.0,7.75,2.0,14.0,54,30,2,10.8
KA Jamieson,9,179,271,9,69,79,29.83,30.11,9.08,19.89,44.13,27.0,14.0,4.0,8.37,3.0,8.43,2.0,12.86,50,30,0,10.0
KA Maharaj,2,36,39,2,11,11,6.0,19.5,6.5,18.0,30.56,2.0,1.0,0.0,8.0,2.0,6.2,0.0,0.0,31,30,2,6.200000000000001
